"","datetime","season","holiday","workingday","weather","temp","atemp","humidity","windspeed","casual","registered","count"
"1578","2011-04-11 15:00:00",2,0,1,1,30.34,33.335,48,35.0008,56,85,141
"343","2011-01-15 18:00:00",1,0,0,2,12.3,14.395,45,16.9979,15,69,84
"2625","2011-06-17 06:00:00",2,0,1,1,22.96,26.515,94,0,8,89,97
"2902","2011-07-09 19:00:00",3,0,0,1,31.16,34.85,55,11.0014,128,178,306
"2998","2011-07-13 19:00:00",3,0,1,1,28.7,33.335,79,7.0015,79,340,419
"8132","2012-06-19 04:00:00",2,0,1,2,24.6,28.79,78,8.9981,1,9,10
"5139","2011-12-08 04:00:00",4,0,1,2,9.84,9.85,60,31.0009,0,2,2
"3168","2011-08-01 21:00:00",3,0,1,1,28.7,32.575,70,16.9979,42,178,220
"1066","2011-03-08 22:00:00",1,0,1,1,12.3,14.395,49,15.0013,11,44,55
"6882","2012-04-05 01:00:00",2,0,1,1,19.68,23.485,27,22.0028,4,9,13
"9527","2012-10-01 07:00:00",4,0,1,1,18.04,21.97,77,11.0014,13,470,483
"384","2011-01-17 11:00:00",1,1,0,2,6.56,7.575,55,12.998,9,55,64
"9418","2012-09-15 18:00:00",3,0,0,2,26.24,31.06,36,19.0012,232,382,614
"7920","2012-06-10 08:00:00",2,0,0,1,26.24,30.305,73,6.0032,59,122,181
"9580","2012-10-03 12:00:00",4,0,1,2,28.7,32.575,70,7.0015,69,289,358
"8209","2012-07-03 09:00:00",3,0,1,1,32.8,37.12,49,11.0014,46,226,272
"2356","2011-06-06 01:00:00",2,0,1,1,24.6,28.03,83,8.9981,9,5,14
"8553","2012-07-17 17:00:00",3,0,1,1,37.72,40.91,29,0,95,675,770
"190","2011-01-09 04:00:00",1,0,0,1,3.28,4.545,53,12.998,0,1,1
"10673","2012-12-11 02:00:00",4,0,1,2,16.4,20.455,66,22.0028,0,1,1
"4978","2011-12-01 11:00:00",4,0,1,1,13.94,15.91,49,16.9979,7,95,102
"6001","2012-02-06 06:00:00",1,0,1,1,6.56,9.09,86,7.0015,0,72,72
"10639","2012-12-09 16:00:00",4,0,0,3,14.76,17.425,93,11.0014,33,220,253
"62","2011-01-03 16:00:00",1,0,1,1,10.66,12.12,30,16.9979,9,67,76
"7219","2012-04-19 03:00:00",2,0,1,2,17.22,21.21,77,0,1,3,4
"4459","2011-10-17 19:00:00",4,0,1,1,22.14,25.76,68,7.0015,45,288,333
"8386","2012-07-10 18:00:00",3,0,1,3,28.7,33.335,74,15.0013,70,749,819
"6384","2012-03-03 05:00:00",1,0,0,2,14.76,18.18,93,6.0032,1,1,2
"10291","2012-11-14 04:00:00",4,0,1,1,9.02,11.365,69,12.998,0,6,6
"771","2011-02-15 12:00:00",1,0,1,1,11.48,13.635,24,16.9979,6,65,71
"7926","2012-06-10 14:00:00",2,0,0,1,34.44,36.365,30,8.9981,186,314,500
"1908","2011-05-06 09:00:00",2,0,1,1,18.86,22.725,67,19.0012,27,161,188
"8193","2012-07-02 17:00:00",3,0,1,1,34.44,36.365,32,8.9981,82,665,747
"1041","2011-03-07 21:00:00",1,0,1,1,11.48,13.635,38,15.0013,1,53,54
"970","2011-03-04 20:00:00",1,0,1,2,12.3,14.395,70,12.998,9,78,87
"2389","2011-06-07 10:00:00",2,0,1,2,31.16,34.09,48,12.998,37,86,123
"3347","2011-08-09 08:00:00",3,0,1,1,30.34,34.85,66,0,40,352,392
"2726","2011-07-02 11:00:00",3,0,0,1,32.8,35.605,36,6.0032,144,213,357
"3139","2011-07-19 16:00:00",3,0,1,1,36.9,42.425,42,19.9995,61,216,277
"616","2011-02-08 19:00:00",1,0,1,1,6.56,6.06,40,31.0009,1,100,101
"7383","2012-05-06 23:00:00",2,0,0,1,21.32,25,77,12.998,22,80,102
"1915","2011-05-06 16:00:00",2,0,1,1,24.6,31.06,40,16.9979,82,262,344
"8124","2012-06-18 20:00:00",2,0,1,2,25.42,29.545,73,8.9981,45,317,362
"4524","2011-11-01 13:00:00",4,0,1,1,19.68,23.485,55,12.998,20,147,167
"2678","2011-06-19 11:00:00",2,0,0,2,29.52,33.335,58,6.0032,141,236,377
"5954","2012-02-04 06:00:00",1,0,0,1,9.02,11.365,87,8.9981,1,4,5
"6171","2012-02-13 08:00:00",1,0,1,1,4.1,6.06,54,8.9981,4,413,417
"10032","2012-11-03 08:00:00",4,0,0,2,13.94,15.15,46,19.9995,10,132,142
"6956","2012-04-08 03:00:00",2,0,0,1,17.22,21.21,26,8.9981,8,18,26
"3782","2011-09-08 13:00:00",3,0,1,2,27.88,31.82,83,26.0027,14,112,126
"3239","2011-08-04 20:00:00",3,0,1,2,28.7,33.335,74,12.998,41,245,286
"1981","2011-05-09 10:00:00",2,0,1,1,22.96,26.515,52,12.998,24,95,119
"470","2011-02-02 15:00:00",1,0,1,1,15.58,19.695,76,22.0028,10,66,76
"1523","2011-04-09 07:00:00",2,0,0,2,12.3,15.15,93,11.0014,8,13,21
"5635","2012-01-09 21:00:00",1,0,1,2,8.2,12.88,93,0,1,78,79
"2606","2011-06-16 11:00:00",2,0,1,2,27.88,31.82,61,19.9995,33,117,150
"4340","2011-10-12 20:00:00",4,0,1,3,22.14,25.76,94,7.0015,9,81,90
"5697","2012-01-12 12:00:00",1,0,1,2,13.94,17.425,81,7.0015,14,130,144
"4413","2011-10-15 21:00:00",4,0,0,1,20.5,24.24,42,15.0013,53,115,168
"1012","2011-03-06 15:00:00",1,0,0,3,18.04,21.97,100,15.0013,3,4,7
"5003","2011-12-02 12:00:00",4,0,1,1,14.76,17.425,57,8.9981,18,186,204
"1797","2011-05-01 18:00:00",2,0,0,2,18.86,22.725,82,6.0032,33,126,159
"1591","2011-04-12 04:00:00",2,0,1,2,22.96,26.515,64,8.9981,4,2,6
"9061","2012-08-19 21:00:00",3,0,0,3,25.42,29.545,78,6.0032,36,154,190
"2638","2011-06-17 19:00:00",2,0,1,3,26.24,28.79,83,16.9979,53,275,328
"8149","2012-06-19 21:00:00",2,0,1,1,31.16,35.605,62,11.0014,37,239,276
"10387","2012-11-18 04:00:00",4,0,0,2,12.3,14.395,81,12.998,4,8,12
"8859","2012-08-11 11:00:00",3,0,0,1,30.34,34.85,66,11.0014,203,296,499
"9257","2012-09-09 01:00:00",3,0,0,1,22.96,26.515,73,15.0013,20,104,124
"1003","2011-03-06 06:00:00",1,0,0,2,17.22,21.21,94,23.9994,1,1,2
"7808","2012-06-05 16:00:00",2,0,1,1,24.6,31.06,43,12.998,91,382,473
"2985","2011-07-13 06:00:00",3,0,1,1,30.34,34.09,58,11.0014,18,103,121
"6684","2012-03-15 18:00:00",1,0,1,1,27.06,31.06,44,19.0012,98,648,746
"8528","2012-07-16 16:00:00",3,0,1,3,31.16,36.365,66,39.0007,77,309,386
"2634","2011-06-17 15:00:00",2,0,1,1,31.98,34.85,43,15.0013,62,181,243
"807","2011-02-17 01:00:00",1,0,1,1,13.94,15.91,53,15.0013,0,6,6
"4907","2011-11-17 12:00:00",4,0,1,2,13.94,15.15,53,19.9995,6,115,121
"2806","2011-07-05 19:00:00",3,0,1,1,32.8,38.635,59,8.9981,71,297,368
"3525","2011-08-16 18:00:00",3,0,1,1,31.16,34.09,45,15.0013,54,516,570
"4563","2011-11-03 04:00:00",4,0,1,1,13.12,16.665,81,6.0032,1,3,4
"7972","2012-06-12 12:00:00",2,0,1,3,27.06,30.305,83,16.9979,19,76,95
"6202","2012-02-14 15:00:00",1,0,1,2,17.22,21.21,38,30.0026,7,138,145
"6113","2012-02-10 22:00:00",1,0,1,2,13.12,17.425,66,0,11,102,113
"9555","2012-10-02 11:00:00",4,0,1,3,23.78,27.275,94,8.9981,7,92,99
"3058","2011-07-16 07:00:00",3,0,0,1,25.42,29.545,73,8.9981,14,38,52
"7006","2012-04-10 05:00:00",2,0,1,1,13.94,16.665,71,8.9981,0,24,24
"8754","2012-08-07 02:00:00",3,0,1,1,28.7,33.335,84,8.9981,6,7,13
"10155","2012-11-08 12:00:00",4,0,1,1,16.4,20.455,24,32.9975,33,202,235
"2326","2011-06-04 19:00:00",2,0,0,2,28.7,31.82,39,6.0032,79,206,285
"3215","2011-08-03 20:00:00",3,0,1,3,28.7,33.335,84,7.0015,7,80,87
"653","2011-02-10 10:00:00",1,0,1,1,4.92,5.305,42,19.9995,1,34,35
"105","2011-01-05 13:00:00",1,0,1,1,11.48,12.88,30,19.9995,6,65,71
"4310","2011-10-11 14:00:00",4,0,1,3,24.6,29.545,73,7.0015,54,117,171
"1867","2011-05-04 16:00:00",2,0,1,1,20.5,24.24,45,31.0009,22,173,195
"1602","2011-04-12 15:00:00",2,0,1,2,19.68,23.485,77,35.0008,24,54,78
"1644","2011-04-14 09:00:00",2,0,1,1,18.86,22.725,51,8.9981,18,152,170
"8840","2012-08-10 16:00:00",3,0,1,1,31.98,36.365,55,19.9995,96,371,467
"2905","2011-07-09 22:00:00",3,0,0,1,29.52,34.09,62,11.0014,60,154,214
"4124","2011-10-03 20:00:00",4,0,1,3,16.4,20.455,82,0,13,191,204
"7812","2012-06-05 20:00:00",2,0,1,1,22.96,26.515,49,15.0013,44,371,415
"515","2011-02-04 14:00:00",1,0,1,2,11.48,13.635,45,11.0014,15,76,91
"2046","2011-05-12 03:00:00",2,0,1,1,18.04,21.97,88,8.9981,0,5,5
"736","2011-02-14 00:00:00",1,0,1,1,15.58,19.695,37,23.9994,3,8,11
"8996","2012-08-17 04:00:00",3,0,1,1,26.24,12.12,73,11.0014,0,9,9
"5662","2012-01-11 01:00:00",1,0,1,1,9.84,12.88,87,6.0032,1,6,7
"8313","2012-07-07 17:00:00",3,0,0,1,39.36,42.425,26,8.9981,103,176,279
"8484","2012-07-14 20:00:00",3,0,0,1,29.52,35.605,84,6.0032,101,255,356
"7057","2012-04-12 09:00:00",2,0,1,1,14.76,16.665,57,23.9994,16,271,287
"5789","2012-01-16 08:00:00",1,1,0,1,4.1,6.06,58,11.0014,3,75,78
"6372","2012-03-02 17:00:00",1,0,1,3,14.76,17.425,81,15.0013,5,123,128
"9788","2012-10-12 04:00:00",4,0,1,1,14.76,18.18,76,7.0015,0,8,8
"1587","2011-04-12 00:00:00",2,0,1,2,25.42,31.06,50,7.0015,11,13,24
"3719","2011-09-05 20:00:00",3,1,0,3,27.06,29.545,94,16.9979,26,56,82
"3618","2011-09-01 15:00:00",3,0,1,1,29.52,33.335,51,8.9981,39,135,174
"2573","2011-06-15 02:00:00",2,0,1,1,21.32,25,63,15.0013,0,9,9
"1427","2011-04-05 07:00:00",2,0,1,2,19.68,23.485,88,22.0028,10,124,134
"491","2011-02-03 13:00:00",1,0,1,1,8.2,8.335,40,27.9993,4,47,51
"8550","2012-07-17 14:00:00",3,0,1,1,38.54,41.665,29,16.9979,54,160,214
"1413","2011-04-04 17:00:00",2,0,1,1,30.34,32.575,23,40.9973,83,283,366
"4255","2011-10-09 07:00:00",4,0,0,1,18.04,21.97,86,0,18,26,44
"128","2011-01-06 13:00:00",1,0,1,1,10.66,13.635,35,7.0015,12,55,67
"1079","2011-03-09 11:00:00",1,0,1,2,13.12,14.395,76,26.0027,15,44,59
"10863","2012-12-19 00:00:00",4,0,1,1,12.3,15.91,61,0,6,35,41
"283","2011-01-13 05:00:00",1,0,1,1,5.74,6.06,50,19.9995,0,3,3
"8952","2012-08-15 08:00:00",3,0,1,2,28.7,32.575,65,19.0012,40,642,682
"9613","2012-10-04 21:00:00",4,0,1,1,25.42,30.305,69,0,33,288,321
"4661","2011-11-07 06:00:00",4,0,1,2,11.48,15.91,93,0,2,97,99
"7294","2012-05-03 06:00:00",2,0,1,2,18.86,22.725,88,11.0014,8,128,136
"8141","2012-06-19 13:00:00",2,0,1,1,30.34,34.09,58,8.9981,69,203,272
"7323","2012-05-04 11:00:00",2,0,1,2,28.7,32.575,61,0,77,181,258
"5724","2012-01-13 15:00:00",1,0,1,1,10.66,10.605,33,39.0007,15,123,138
"10783","2012-12-15 16:00:00",4,0,0,1,16.4,20.455,50,8.9981,85,328,413
"7855","2012-06-07 15:00:00",2,0,1,1,30.34,32.575,30,0,99,234,333
"8029","2012-06-14 21:00:00",2,0,1,1,26.24,30.305,65,11.0014,67,270,337
"7642","2012-05-17 18:00:00",2,0,1,1,27.06,31.06,27,11.0014,134,734,868
"5198","2011-12-10 15:00:00",4,0,0,1,13.94,15.15,34,23.9994,60,239,299
"446","2011-02-01 15:00:00",1,0,1,2,9.84,14.395,75,0,7,45,52
"10165","2012-11-08 22:00:00",4,0,1,1,13.94,15.15,42,19.9995,14,147,161
"1976","2011-05-09 05:00:00",2,0,1,1,17.22,21.21,77,11.0014,0,23,23
"7846","2012-06-07 06:00:00",2,0,1,1,18.86,22.725,88,7.0015,5,165,170
"7834","2012-06-06 18:00:00",2,0,1,3,24.6,31.06,53,12.998,94,688,782
"3568","2011-08-18 13:00:00",3,0,1,1,32.8,37.12,52,23.9994,33,154,187
"72","2011-01-04 02:00:00",1,0,1,1,5.74,7.575,63,8.9981,0,1,1
"6468","2012-03-06 17:00:00",1,0,1,1,14.76,16.665,34,19.0012,21,425,446
"6504","2012-03-08 05:00:00",1,0,1,1,17.22,21.21,77,15.0013,1,28,29
"10499","2012-12-03 20:00:00",4,0,1,2,18.86,22.725,77,0,16,284,300
"9795","2012-10-12 11:00:00",4,0,1,1,22.14,25.76,37,23.9994,61,252,313
"2544","2011-06-13 21:00:00",2,0,1,1,26.24,31.06,41,16.9979,40,178,218
"8549","2012-07-17 13:00:00",3,0,1,1,37.72,40.91,31,12.998,53,168,221
"9079","2012-09-01 15:00:00",3,0,0,2,35.26,39.395,44,19.0012,257,306,563
"10200","2012-11-10 09:00:00",4,0,0,1,14.76,17.425,66,12.998,43,216,259
"4785","2011-11-12 10:00:00",4,0,0,1,13.94,15.91,61,19.0012,62,170,232
"5362","2011-12-17 11:00:00",4,0,0,2,11.48,12.88,45,22.0028,21,188,209
"3249","2011-08-05 06:00:00",3,0,1,1,26.24,29.545,78,8.9981,7,94,101
"3693","2011-09-04 18:00:00",3,0,0,1,31.16,36.365,66,12.998,187,169,356
"10422","2012-11-19 15:00:00",4,0,1,1,18.04,21.97,54,12.998,44,213,257
"7527","2012-05-12 23:00:00",2,0,0,1,23.78,27.275,56,6.0032,42,134,176
"8606","2012-07-19 22:00:00",3,0,1,3,27.06,29.545,89,16.9979,6,62,68
"5727","2012-01-13 18:00:00",1,0,1,1,10.66,11.365,38,19.9995,7,294,301
"442","2011-02-01 11:00:00",1,0,1,2,7.38,12.12,86,0,2,49,51
"408","2011-01-18 23:00:00",1,0,1,2,9.02,13.635,93,0,1,19,20
"1633","2011-04-13 22:00:00",2,0,1,1,17.22,21.21,67,12.998,10,89,99
"6352","2012-03-01 21:00:00",1,0,1,1,17.22,21.21,47,31.0009,7,190,197
"1762","2011-04-19 07:00:00",2,0,1,2,21.32,25,55,0,22,166,188
"10386","2012-11-18 03:00:00",4,0,0,2,12.3,15.15,81,11.0014,9,37,46
"3721","2011-09-05 22:00:00",3,1,0,2,24.6,27.275,88,39.0007,15,49,64
"10329","2012-11-15 18:00:00",4,0,1,2,14.76,17.425,57,12.998,10,563,573
"5592","2012-01-08 02:00:00",1,0,0,1,14.76,16.665,37,19.0012,10,57,67
"7614","2012-05-16 14:00:00",2,0,1,1,29.52,32.575,42,6.0032,42,221,263
"2510","2011-06-12 11:00:00",2,0,0,1,31.98,36.365,55,7.0015,131,236,367
"1103","2011-03-10 13:00:00",1,0,1,3,17.22,21.21,0,15.0013,1,11,12
"9070","2012-09-01 06:00:00",3,0,0,1,27.88,31.82,79,0,13,23,36
"4090","2011-10-02 10:00:00",4,0,0,2,14.76,16.665,71,19.0012,60,188,248
"2311","2011-06-04 04:00:00",2,0,0,1,21.32,25,59,6.0032,4,11,15
"6470","2012-03-06 19:00:00",1,0,1,1,13.94,15.15,46,19.9995,9,278,287
"5451","2012-01-02 05:00:00",1,1,0,1,11.48,12.88,45,22.0028,1,3,4
"10287","2012-11-14 00:00:00",4,0,1,1,10.66,12.12,56,19.0012,4,20,24
"6715","2012-03-17 01:00:00",1,0,0,2,18.04,21.97,94,0,12,57,69
"4253","2011-10-09 05:00:00",4,0,0,1,18.04,21.97,88,0,1,14,15
"10878","2012-12-19 15:00:00",4,0,1,1,17.22,21.21,50,19.0012,28,209,237
"9029","2012-08-18 13:00:00",3,0,0,1,30.34,32.575,40,12.998,289,355,644
"10127","2012-11-07 07:00:00",4,0,1,2,10.66,11.365,56,19.9995,5,314,319
"8981","2012-08-16 13:00:00",3,0,1,1,32.8,34.85,31,15.0013,81,219,300
"2257","2011-06-01 22:00:00",2,0,1,1,30.34,34.85,66,8.9981,14,115,129
"1271","2011-03-17 18:00:00",1,0,1,2,18.86,22.725,59,11.0014,50,260,310
"1528","2011-04-09 12:00:00",2,0,0,2,14.76,17.425,81,8.9981,79,123,202
"8610","2012-08-01 02:00:00",3,0,1,1,26.24,28.79,83,7.0015,0,13,13
"5518","2012-01-05 00:00:00",1,0,1,2,9.02,11.365,47,12.998,1,13,14
"170","2011-01-08 08:00:00",1,0,0,3,6.56,9.09,93,7.0015,0,15,15
"9353","2012-09-13 01:00:00",3,0,1,1,22.14,25.76,77,6.0032,6,22,28
"9241","2012-09-08 09:00:00",3,0,0,1,28.7,33.335,74,26.0027,87,261,348
"3247","2011-08-05 04:00:00",3,0,1,1,26.24,29.545,78,8.9981,1,6,7
"9222","2012-09-07 14:00:00",3,0,1,1,32.8,38.635,59,16.9979,66,187,253
"2062","2011-05-12 19:00:00",2,0,1,2,24.6,30.305,64,12.998,59,305,364
"8178","2012-07-02 02:00:00",3,0,1,2,30.34,33.335,51,16.9979,1,14,15
"2146","2011-05-16 07:00:00",2,0,1,1,21.32,25,83,19.0012,27,245,272
"8341","2012-07-08 21:00:00",3,0,0,1,31.16,36.365,70,8.9981,58,149,207
"9597","2012-10-04 05:00:00",4,0,1,3,26.24,28.79,89,7.0015,2,37,39
"10827","2012-12-17 12:00:00",4,0,1,2,16.4,20.455,87,0,21,211,232
"1046","2011-03-08 02:00:00",1,0,1,1,9.84,12.12,52,8.9981,1,0,1
"5546","2012-01-06 04:00:00",1,0,1,1,9.02,11.365,69,8.9981,0,3,3
"4227","2011-10-08 03:00:00",4,0,0,1,18.04,21.97,88,0,4,16,20
"8507","2012-07-15 19:00:00",3,0,0,1,29.52,35.605,84,15.0013,109,203,312
"1636","2011-04-14 01:00:00",2,0,1,1,15.58,19.695,76,15.0013,1,9,10
"3430","2011-08-12 19:00:00",3,0,1,1,30.34,33.335,42,15.0013,101,284,385
"4337","2011-10-12 17:00:00",4,0,1,3,22.14,25.76,94,15.0013,16,235,251
"3390","2011-08-11 03:00:00",3,0,1,1,26.24,31.06,57,8.9981,2,7,9
"1947","2011-05-08 00:00:00",2,0,0,2,20.5,24.24,59,7.0015,22,78,100
"4305","2011-10-11 09:00:00",4,0,1,2,24.6,29.545,69,0,40,195,235
"9738","2012-10-10 02:00:00",4,0,1,2,18.86,22.725,88,0,2,6,8
"3146","2011-07-19 23:00:00",3,0,1,3,29.52,34.85,79,11.0014,19,73,92
"10569","2012-12-06 18:00:00",4,0,1,1,11.48,13.635,45,11.0014,23,542,565
"117","2011-01-06 01:00:00",1,0,1,1,6.56,11.365,64,0,0,4,4
"265","2011-01-12 11:00:00",1,0,1,1,8.2,9.09,51,26.0027,3,32,35
"8323","2012-07-08 03:00:00",3,0,0,1,32.8,38.635,59,7.0015,1,34,35
"9929","2012-10-18 01:00:00",4,0,1,1,18.86,22.725,82,15.0013,0,14,14
"5645","2012-01-10 08:00:00",1,0,1,2,7.38,9.85,93,11.0014,6,465,471
"7345","2012-05-05 09:00:00",2,0,0,1,25.42,29.545,78,7.0015,61,223,284
"1352","2011-04-02 04:00:00",2,0,0,1,9.84,12.12,70,11.0014,0,5,5
"7062","2012-04-12 14:00:00",2,0,1,1,20.5,24.24,31,22.0028,74,150,224
"1872","2011-05-04 21:00:00",2,0,1,1,16.4,20.455,62,11.0014,17,133,150
"3869","2011-09-12 05:00:00",3,0,1,1,22.96,26.515,83,0,1,23,24
"10634","2012-12-09 11:00:00",4,0,0,2,16.4,20.455,87,19.9995,40,210,250
"10158","2012-11-08 15:00:00",4,0,1,1,18.04,21.97,18,27.9993,32,201,233
"319","2011-01-14 18:00:00",1,0,1,1,8.2,12.88,47,0,5,134,139
"8246","2012-07-04 22:00:00",3,1,0,1,33.62,39.395,56,15.0013,175,327,502
"4654","2011-11-06 23:00:00",4,0,0,1,13.94,17.425,87,6.0032,7,43,50
"1966","2011-05-08 19:00:00",2,0,0,1,22.96,26.515,64,0,61,178,239
"5819","2012-01-17 15:00:00",1,0,1,1,18.04,21.97,62,32.9975,6,123,129
"10298","2012-11-14 11:00:00",4,0,1,1,13.12,15.15,49,16.9979,25,126,151
"1676","2011-04-15 17:00:00",2,1,0,2,20.5,24.24,63,26.0027,64,267,331
"10319","2012-11-15 08:00:00",4,0,1,2,12.3,14.395,61,15.0013,21,625,646
"8718","2012-08-05 14:00:00",3,0,0,1,36.9,42.425,42,31.0009,161,365,526
"10729","2012-12-13 10:00:00",4,0,1,1,13.12,15.15,45,19.0012,28,139,167
"8035","2012-06-15 03:00:00",2,0,1,1,22.96,26.515,83,11.0014,2,3,5
"5744","2012-01-14 11:00:00",1,0,0,1,8.2,9.85,40,12.998,28,150,178
"7790","2012-06-04 22:00:00",2,0,1,1,22.96,26.515,52,19.0012,41,127,168
"8169","2012-07-01 17:00:00",3,0,0,1,37.72,40.15,26,19.9995,90,323,413
"4854","2011-11-15 07:00:00",4,0,1,2,22.14,25.76,68,11.0014,21,298,319
"3471","2011-08-14 12:00:00",3,0,0,2,28.7,33.335,79,15.0013,98,183,281
"9181","2012-09-05 21:00:00",3,0,1,1,29.52,34.85,79,0,18,278,296
"8322","2012-07-08 02:00:00",3,0,0,1,33.62,38.635,52,7.0015,11,59,70
"2643","2011-06-18 00:00:00",2,0,0,1,25.42,28.03,88,8.9981,21,83,104
"7488","2012-05-11 08:00:00",2,0,1,1,18.86,22.725,44,16.9979,41,579,620
"7410","2012-05-08 02:00:00",2,0,1,2,21.32,25,63,19.9995,9,7,16
"1729","2011-04-17 22:00:00",2,0,0,1,20.5,24.24,39,7.0015,21,49,70
"10793","2012-12-16 02:00:00",4,0,0,2,13.94,17.425,87,6.0032,8,79,87
"4221","2011-10-07 21:00:00",4,0,1,1,20.5,24.24,68,0,22,144,166
"2533","2011-06-13 10:00:00",2,0,1,1,26.24,31.06,41,22.0028,38,80,118
"7376","2012-05-06 16:00:00",2,0,0,2,25.42,30.305,61,0,181,363,544
"1176","2011-03-13 16:00:00",1,0,0,1,18.86,22.725,41,26.0027,124,132,256
"2315","2011-06-04 08:00:00",2,0,0,1,24.6,31.06,46,6.0032,29,96,125
"1611","2011-04-13 00:00:00",2,0,1,2,16.4,20.455,100,19.9995,3,12,15
"8324","2012-07-08 04:00:00",3,0,0,1,31.98,37.88,66,7.0015,2,11,13
"6200","2012-02-14 13:00:00",1,0,1,2,14.76,16.665,40,16.9979,6,167,173
"5321","2011-12-15 18:00:00",4,0,1,2,21.32,25,59,19.9995,14,363,377
"5128","2011-12-07 17:00:00",4,0,1,3,16.4,20.455,100,22.0028,4,48,52
"9244","2012-09-08 12:00:00",3,0,0,1,32.8,37.88,55,32.9975,220,474,694
"8854","2012-08-11 06:00:00",3,0,0,2,25.42,28.03,88,7.0015,5,18,23
"4449","2011-10-17 09:00:00",4,0,1,2,20.5,24.24,45,19.0012,26,180,206
"4195","2011-10-06 19:00:00",4,0,1,1,21.32,25,59,7.0015,38,305,343
"6710","2012-03-16 20:00:00",1,0,1,1,18.86,22.725,88,0,31,204,235
"9058","2012-08-19 18:00:00",3,0,0,2,26.24,29.545,78,7.0015,86,291,377
"9291","2012-09-10 11:00:00",3,0,1,1,25.42,31.06,43,19.9995,69,167,236
"10303","2012-11-14 16:00:00",4,0,1,1,13.94,17.425,46,7.0015,31,290,321
"8005","2012-06-13 21:00:00",2,0,1,1,26.24,31.06,44,23.9994,79,317,396
"5537","2012-01-05 19:00:00",1,0,1,1,13.94,17.425,34,6.0032,10,255,265
"3762","2011-09-07 16:00:00",3,0,1,1,26.24,28.79,89,0,7,137,144
"432","2011-02-01 00:00:00",1,0,1,2,6.56,9.09,64,7.0015,2,6,8
"1452","2011-04-06 08:00:00",2,0,1,1,13.12,15.15,61,15.0013,17,308,325
"9264","2012-09-09 08:00:00",3,0,0,1,23.78,27.275,68,15.0013,27,143,170
"1123","2011-03-11 10:00:00",1,0,1,2,13.12,15.15,57,19.9995,18,60,78
"6619","2012-03-13 01:00:00",1,0,1,2,21.32,25,59,15.0013,2,14,16
"9296","2012-09-10 16:00:00",3,0,1,1,27.06,31.06,34,22.0028,108,380,488
"1649","2011-04-14 14:00:00",2,0,1,1,22.96,26.515,35,6.0032,36,101,137
"191","2011-01-09 05:00:00",1,0,0,1,3.28,4.545,53,12.998,0,1,1
"3063","2011-07-16 12:00:00",3,0,0,1,31.16,34.09,43,19.0012,187,276,463
"5444","2012-01-01 21:00:00",1,0,0,2,18.04,21.97,67,16.9979,10,61,71
"5666","2012-01-11 05:00:00",1,0,1,1,8.2,10.605,80,8.9981,0,22,22
"7170","2012-04-17 02:00:00",2,0,1,1,22.96,26.515,83,7.0015,1,3,4
"4506","2011-10-19 19:00:00",4,0,1,2,24.6,27.275,88,8.9981,8,189,197
"1760","2011-04-19 05:00:00",2,0,1,2,18.86,22.725,72,12.998,1,17,18
"125","2011-01-06 10:00:00",1,0,1,1,8.2,12.88,47,0,3,42,45
"9836","2012-10-14 04:00:00",4,0,0,1,17.22,21.21,77,19.0012,2,10,12
"9873","2012-10-15 17:00:00",4,0,1,1,22.96,26.515,64,16.9979,96,670,766
"3619","2011-09-01 16:00:00",3,0,1,1,30.34,33.335,51,12.998,55,253,308
"2271","2011-06-02 12:00:00",2,0,1,1,31.16,33.335,25,31.0009,39,193,232
"7710","2012-06-01 14:00:00",2,0,1,3,29.52,34.09,66,19.0012,55,199,254
"6245","2012-02-16 10:00:00",1,0,1,3,13.12,16.665,70,8.9981,2,42,44
"4028","2011-09-18 20:00:00",3,0,0,2,22.14,25.76,68,6.0032,44,136,180
"8896","2012-08-13 00:00:00",3,0,1,1,27.06,31.06,65,7.0015,14,33,47
"1725","2011-04-17 18:00:00",2,0,0,1,22.96,26.515,30,26.0027,102,175,277
"2636","2011-06-17 17:00:00",2,0,1,3,31.16,34.09,40,12.998,85,467,552
"1064","2011-03-08 20:00:00",1,0,1,1,13.12,16.665,39,6.0032,2,74,76
"3922","2011-09-14 10:00:00",3,0,1,1,28.7,32.575,70,8.9981,27,115,142
"7563","2012-05-14 11:00:00",2,0,1,2,22.96,26.515,83,15.0013,12,67,79
"4867","2011-11-15 20:00:00",4,0,1,2,19.68,23.485,82,8.9981,26,212,238
"10874","2012-12-19 11:00:00",4,0,1,1,16.4,20.455,54,15.0013,31,169,200
"6309","2012-02-19 02:00:00",1,0,0,2,12.3,14.395,36,19.0012,3,45,48
"4955","2011-11-19 12:00:00",4,0,0,1,16.4,20.455,35,19.0012,93,218,311
"2178","2011-05-17 15:00:00",2,0,1,1,25.42,30.305,69,30.0026,79,131,210
"7472","2012-05-10 16:00:00",2,0,1,1,23.78,27.275,30,31.0009,87,334,421
"4159","2011-10-05 07:00:00",4,0,1,1,18.86,22.725,77,7.0015,9,292,301
"7750","2012-06-03 06:00:00",2,0,0,1,18.86,22.725,82,7.0015,6,16,22
"569","2011-02-06 20:00:00",1,0,0,1,11.48,14.395,61,7.0015,5,21,26
"4829","2011-11-14 06:00:00",4,0,1,2,18.04,21.97,72,15.0013,10,104,114
"3234","2011-08-04 15:00:00",3,0,1,1,32.8,37.88,55,16.9979,50,115,165
